j,strategy,delta,se,p_up,p_down,n1
30,book_pullback_ma20,-0.022490054202548695,0.10352924350830495,0.585986939649513,0.414013060350487,15668
31,book_pullback_ma20,0.054230945600795576,0.1235077049027491,0.3302983164691873,0.6697016835308127,15657
32,book_pullback_ma20,0.15919544976700412,0.18248524341299743,0.1915020882058737,0.8084979117941262,15659
33,book_pullback_ma20,0.07933103947013506,0.13401413828862788,0.2769386116694418,0.7230613883305582,15667
34,book_pullback_ma20,0.005946663394406915,0.12107820756596577,0.4804141300828275,0.5195858699171725,15660
35,book_pullback_ma20,0.053848440535335926,0.13114915974543878,0.3406868587044344,0.6593131412955656,15666
36,book_pullback_ma20,0.4667166005000023,0.4105614828852929,0.12781588778563915,0.8721841122143608,15648
37,book_pullback_ma20,-0.07103376430578152,0.09193383364603672,0.7801387295493245,0.2198612704506755,15657
38,book_pullback_ma20,0.006962753683030967,0.09235272948818048,0.4699509955432238,0.5300490044567763,15661
39,book_pullback_ma20,0.32089290626326633,0.21546244619948735,0.06820133220863424,0.9317986677913657,15658
40,book_pullback_ma20,-0.008206095183771786,0.13611265348156013,0.5240372669279695,0.4759627330720305,15663
41,book_pullback_ma20,0.059372451227296084,0.13468217893213366,0.32966667580479037,0.6703333241952096,15662
42,book_pullback_ma20,-0.2319188152277566,0.08618255165841812,0.9964382845947521,0.003561715405247811,15659
43,book_pullback_ma20,-0.20063674766370576,0.09085240359658195,0.9863911473038103,0.013608852696189744,15659
44,book_pullback_ma20,-0.053165591333600534,0.1256709969520436,0.6638719912595469,0.3361280087404531,15654
45,book_pullback_ma20,-0.11055758857102276,0.09746796769063616,0.871664931615,0.12833506838499997,15657
46,book_pullback_ma20,-0.12743614911058748,0.08284514214283002,0.9380056735827788,0.061994326417221274,15650
47,book_pullback_ma20,-0.06912530070399332,0.07901498152861544,0.8091689445761329,0.19083105542386714,15656
48,book_pullback_ma20,-0.18515506879517268,0.0994973172982822,0.9686212128306124,0.031378787169387565,15665
49,book_pullback_ma20,0.19870124334359024,0.1499411150182808,0.09255321132924128,0.9074467886707587,15642
50,book_pullback_ma20,0.11412315874582654,0.12081342793160112,0.17242565640973118,0.8275743435902687,15654
