board,rep,strategy,n_lots,n_open_excl,mean_net_pct,win_rate,net_won_mean,n_replaced,n_dropped,dup_pi,dup_real
main,90,minervini_volume_dryup,8472,34,-0.308999,0.410175,-3781,1815,0,221,1719
main,91,minervini_volume_dryup,8477,29,0.154292,0.436829,1291,1827,0,211,1699
main,92,minervini_volume_dryup,8477,29,-0.099122,0.417954,-926,1924,0,226,1826
main,93,minervini_volume_dryup,8460,46,0.032758,0.427069,145,2130,0,213,1988
main,94,minervini_volume_dryup,8477,29,0.012229,0.430577,-256,1778,0,228,1691
main,95,minervini_volume_dryup,8478,28,-0.020642,0.429347,-179,2072,0,208,1918
main,96,minervini_volume_dryup,8463,43,0.079326,0.430108,745,1726,0,239,1635
main,97,minervini_volume_dryup,8478,28,0.131436,0.425926,1163,1977,0,216,1848
main,98,minervini_volume_dryup,8476,30,0.208259,0.423313,1966,1845,0,225,1745
main,99,minervini_volume_dryup,8472,34,0.04036,0.431303,204,1752,0,207,1664
main,100,minervini_volume_dryup,8475,31,0.268364,0.432094,2685,1794,0,217,1702
main,101,minervini_volume_dryup,8472,34,0.190887,0.440746,1521,1816,0,217,1687
main,102,minervini_volume_dryup,8466,40,0.535589,0.451453,4874,2120,0,206,1953
main,103,minervini_volume_dryup,8473,33,-0.192738,0.419922,-2152,2066,0,217,1963
main,104,minervini_volume_dryup,8468,38,-0.057539,0.426311,-580,1814,0,211,1706
main,105,minervini_volume_dryup,8463,43,0.044255,0.42928,-42,1723,0,211,1643
main,106,minervini_volume_dryup,8462,44,0.194774,0.438194,1974,1730,0,240,1639
main,107,minervini_volume_dryup,8464,42,0.076303,0.430057,716,1684,0,226,1605
main,108,minervini_volume_dryup,8473,33,-0.215864,0.420748,-2020,1955,0,226,1839
main,109,minervini_volume_dryup,8472,34,-0.248402,0.413008,-2409,1991,0,203,1867
main,110,minervini_volume_dryup,8478,28,-0.371447,0.404577,-3698,2075,0,213,1957
main,111,minervini_volume_dryup,8471,35,0.254346,0.439263,2764,2032,0,205,1915
main,112,minervini_volume_dryup,8478,28,-0.117335,0.421326,-1657,2007,0,214,1902
main,113,minervini_volume_dryup,8484,22,0.260275,0.438826,2765,1636,0,225,1562
main,114,minervini_volume_dryup,8470,36,-0.183919,0.417473,-1822,2007,0,210,1886
