date,strategy,mode,code,list_pos,slot_state,slot_state_v2,eval_v1,signal_replay,replay_reason,signal_log,signal_log_v1,signal_log_v2,n_evals,first_ts,last_ts,outcome,outcome_v1,outcome_v2,no_slot_but_log_y,no_slot_but_log_y_v2,reasons_equal,ref_equal,receipt_ref,replay_ref,signal_basis,vol_ratio,vol_threshold,rule_margin_pct,vintage_fragile
2026-09-15,minervini_volume_dryup,,282330,6,no_slot,no_slot,N,Y,volume_dryup recent/base=0.60 ≤ 0.70,NA,NA,NA,,,,na,na,na,N,N,,,,145900,replay,0.6,0.7,-14.29,N
2026-09-15,book_pullback_ma20,,010170,1,bought,bought,N,Y,daily_ma20_pull ma20=13594.50 low=13800.00 close=14490.00,Y,Y,Y,1,09:56:15,09:56:15,agree_Y,agree_Y,agree_Y,N,N,Y,Y,14490,14490,log,,,,
2026-09-15,book_pullback_ma20,,462860,2,no_slot,no_slot,N,Y,daily_ma20_pull ma20=2918.30 low=2885.00 close=3180.00,NA,NA,NA,,,,na,na,na,N,N,,,,3180,replay,,,,
2026-09-15,book_pullback_ma20,,017900,3,no_slot,no_slot,N,Y,daily_ma20_pull ma20=7808.00 low=7700.00 close=10270.00,NA,NA,NA,,,,na,na,na,N,N,,,,10270,replay,,,,
2026-09-15,book_pullback_ma20,,093370,4,no_slot,no_slot,N,Y,daily_ma20_pull ma20=12776.50 low=12940.00 close=14110.00,NA,NA,NA,,,,na,na,na,N,N,,,,14110,replay,,,,
2026-09-15,book_pullback_ma20,,005880,5,held,held,N,Y,daily_ma20_pull ma20=2082.10 low=2055.00 close=2090.00,NA,NA,NA,,,,na,na,na,N,N,,,,2090,replay,,,,
2026-09-15,book_pullback_ma20,,204620,6,no_slot,no_slot,N,Y,daily_ma20_pull ma20=5350.25 low=5330.00 close=5660.00,NA,NA,NA,,,,na,na,na,N,N,,,,5660,replay,,,,
2026-09-15,book_pullback_ma20,,234690,7,no_slot,no_slot,N,Y,daily_ma20_pull ma20=9331.50 low=9360.00 close=9510.00,NA,NA,NA,,,,na,na,na,N,N,,,,9510,replay,,,,
2026-09-15,book_pullback_ma20,,119850,8,no_slot,no_slot,N,Y,daily_ma20_pull ma20=48437.50 low=49050.00 close=49750.00,NA,NA,NA,,,,na,na,na,N,N,,,,49750,replay,,,,
2026-09-15,book_pullback_ma20,,100790,9,no_slot,no_slot,N,Y,daily_ma20_pull ma20=15597.50 low=15350.00 close=15860.00,NA,NA,NA,,,,na,na,na,N,N,,,,15860,replay,,,,
2026-09-15,book_pullback_ma20,,293490,10,no_slot,no_slot,N,Y,daily_ma20_pull ma20=8882.50 low=9030.00 close=9660.00,NA,NA,NA,,,,na,na,na,N,N,,,,9660,replay,,,,
2026-09-15,book_pullback_ma5,,032820,1,slot_available,slot_available,Y,Y,ma5_pullback ma5=13726.00 low=13520.00 close=13850.00,Y,Y,Y,3,09:04:19,10:34:09,agree_Y,agree_Y,agree_Y,N,N,Y,Y,13850,13850,log,,,,
2026-09-15,book_pullback_ma5,,162300,2,slot_available,slot_available,Y,Y,ma5_pullback ma5=2731.00 low=2770.00 close=2860.00,Y,Y,Y,1,09:04:19,09:04:19,agree_Y,agree_Y,agree_Y,N,N,Y,Y,2860,2860,log,,,,
2026-09-15,book_pullback_ma5,,036540,3,bought,bought,Y,Y,ma5_pullback ma5=6870.00 low=6820.00 close=7530.00,Y,Y,Y,1,09:04:19,09:04:19,agree_Y,agree_Y,agree_Y,N,N,Y,Y,7530,7530,log,,,,
2026-09-15,book_pullback_ma5,,950250,4,bought,bought,Y,Y,ma5_pullback ma5=3373.00 low=3400.00 close=3585.00,Y,Y,Y,1,09:09:39,09:09:39,agree_Y,agree_Y,agree_Y,N,N,Y,Y,3585,3585,log,,,,
2026-09-15,book_pullback_ma5,,100590,5,slot_available,slot_available,Y,Y,ma5_pullback ma5=4442.00 low=4515.00 close=4785.00,Y,Y,Y,1,10:34:10,10:34:10,agree_Y,agree_Y,agree_Y,N,N,Y,Y,4785,4785,log,,,,
2026-09-15,book_pullback_ma5,,452260,6,bought,bought,Y,Y,ma5_pullback ma5=2563.00 low=2575.00 close=2660.00,Y,Y,Y,1,10:34:10,10:34:10,agree_Y,agree_Y,agree_Y,N,N,Y,Y,2660,2660,log,,,,
2026-09-15,book_pullback_ma5,,0015N0,7,no_slot,no_slot,Y,Y,ma5_pullback ma5=10722.00 low=10520.00 close=12050.00,NA,N,NA,,,,na,replay_only,na,N,N,,,,12050,replay,,,,
2026-09-15,book_pullback_ma5,,115440,8,no_slot,no_slot,Y,Y,ma5_pullback ma5=8144.00 low=8080.00 close=8890.00,NA,N,NA,,,,na,replay_only,na,N,N,,,,8890,replay,,,,
2026-09-15,book_pullback_ma5,,441270,9,no_slot,no_slot,Y,Y,ma5_pullback ma5=8350.00 low=8300.00 close=9210.00,NA,N,NA,,,,na,replay_only,na,N,N,,,,9210,replay,,,,
2026-09-15,book_pullback_ma5,,332570,10,no_slot,no_slot,Y,Y,ma5_pullback ma5=7654.00 low=7600.00 close=8060.00,NA,N,NA,,,,na,replay_only,na,N,N,,,,8060,replay,,,,
2026-09-15,rs_leader,shadow,049080,1,held,held,N,Y,절대상승추세(종가>MA20·종가>MA60·MA20>MA60·60일수익>0),NA,NA,NA,,,,na,na,na,N,N,,,,8750,replay,,,,
2026-09-15,rs_leader,shadow,001210,2,bought,bought,Y,Y,절대상승추세(종가>MA20·종가>MA60·MA20>MA60·60일수익>0),Y,Y,Y,1,09:04:57,09:04:57,agree_Y,agree_Y,agree_Y,N,N,Y,Y,10770,10770,log,,,,
2026-09-15,rs_leader,shadow,017900,3,slot_available,slot_available,Y,Y,절대상승추세(종가>MA20·종가>MA60·MA20>MA60·60일수익>0),Y,Y,Y,2,09:04:57,09:10:21,agree_Y,agree_Y,agree_Y,N,N,Y,Y,10270,10270,log,,,,
2026-09-15,rs_leader,shadow,079650,4,slot_available,slot_available,Y,Y,절대상승추세(종가>MA20·종가>MA60·MA20>MA60·60일수익>0),Y,Y,Y,2,09:04:57,09:10:21,agree_Y,agree_Y,agree_Y,N,N,Y,Y,6510,6510,log,,,,
2026-09-15,rs_leader,shadow,184230,5,bought,bought,Y,Y,절대상승추세(종가>MA20·종가>MA60·MA20>MA60·60일수익>0),Y,Y,Y,2,09:04:58,09:10:21,agree_Y,agree_Y,agree_Y,N,N,Y,Y,2305,2305,log,,,,
2026-09-15,rs_leader,shadow,351320,6,slot_available,slot_available,Y,Y,절대상승추세(종가>MA20·종가>MA60·MA20>MA60·60일수익>0),Y,Y,Y,2,09:04:58,09:10:22,agree_Y,agree_Y,agree_Y,N,N,Y,Y,4090,4090,log,,,,
2026-09-15,rs_leader,shadow,285800,7,slot_available,slot_available,Y,Y,절대상승추세(종가>MA20·종가>MA60·MA20>MA60·60일수익>0),Y,Y,Y,2,09:04:58,09:10:22,agree_Y,agree_Y,agree_Y,N,N,Y,Y,4615,4615,log,,,,
2026-09-15,rs_leader,shadow,024850,8,slot_available,slot_available,Y,Y,절대상승추세(종가>MA20·종가>MA60·MA20>MA60·60일수익>0),Y,Y,Y,2,09:04:58,09:10:22,agree_Y,agree_Y,agree_Y,N,N,Y,Y,15300,15300,log,,,,
2026-09-15,rs_leader,shadow,00088K,9,slot_available,slot_available,Y,Y,절대상승추세(종가>MA20·종가>MA60·MA20>MA60·60일수익>0),Y,Y,Y,2,09:04:58,09:10:23,agree_Y,agree_Y,agree_Y,N,N,Y,Y,42700,42700,log,,,,
2026-09-15,rs_leader,shadow,020120,10,slot_available,slot_available,Y,Y,절대상승추세(종가>MA20·종가>MA60·MA20>MA60·60일수익>0),Y,Y,Y,2,09:04:58,09:10:23,agree_Y,agree_Y,agree_Y,N,N,Y,Y,9000,9000,log,,,,
2026-09-16,elder_ema_pullback,,000150,1,slot_available,slot_available,Y,Y,triple_screen_ema_pullback low=1232000<=ema13*1.02 close=128,Y,Y,Y,73,09:06:11,15:27:27,agree_Y,agree_Y,agree_Y,N,N,Y,Y,1289000,1289000,log,,,,
2026-09-16,elder_ema_pullback,,006400,2,slot_available,slot_available,Y,Y,triple_screen_ema_pullback low=531000<=ema13*1.02 close=5470,Y,Y,Y,73,09:06:12,15:27:27,agree_Y,agree_Y,agree_Y,N,N,Y,Y,547000,547000,log,,,,
2026-09-16,elder_ema_pullback,,128940,3,slot_available,slot_available,Y,Y,triple_screen_ema_pullback low=477500<=ema13*1.02 close=4965,Y,Y,Y,73,09:06:12,15:27:28,agree_Y,agree_Y,agree_Y,N,N,Y,Y,496500,496500,log,,,,
2026-09-16,elder_ema_pullback,,039030,4,slot_available,slot_available,Y,Y,triple_screen_ema_pullback low=426500<=ema13*1.02 close=4465,Y,Y,Y,73,09:06:12,15:27:28,agree_Y,agree_Y,agree_Y,N,N,Y,Y,446500,446500,log,,,,
2026-09-16,elder_ema_pullback,,373220,5,bought,bought,Y,Y,triple_screen_ema_pullback low=347500<=ema13*1.02 close=3655,Y,Y,Y,1,09:06:13,09:06:13,agree_Y,agree_Y,agree_Y,N,N,Y,Y,365500,365500,log,,,,
2026-09-16,elder_ema_pullback,,051900,6,held,held,N,Y,triple_screen_ema_pullback low=294500<=ema13*1.02 close=3020,NA,NA,NA,,,,na,na,na,N,N,,,,302000,replay,,,,
2026-09-16,elder_ema_pullback,,192820,7,held,held,N,Y,triple_screen_ema_pullback low=272000<=ema13*1.02 close=2730,NA,NA,NA,,,,na,na,na,N,N,,,,273000,replay,,,,
2026-09-16,elder_ema_pullback,,064760,8,held,held,N,Y,triple_screen_ema_pullback low=257500<=ema13*1.02 close=2595,NA,NA,NA,,,,na,na,na,N,N,,,,259500,replay,,,,
2026-09-16,elder_ema_pullback,,443060,9,held,held,N,Y,triple_screen_ema_pullback low=225500<=ema13*1.02 close=2320,NA,NA,NA,,,,na,na,na,N,N,,,,232000,replay,,,,
2026-09-16,elder_ema_pullback,,036930,10,slot_available,slot_available,Y,Y,triple_screen_ema_pullback low=191800<=ema13*1.02 close=1928,Y,Y,Y,73,09:06:15,15:27:28,agree_Y,agree_Y,agree_Y,N,N,Y,Y,192800,192800,log,,,,
2026-09-16,book_envelope_200d,,031980,1,bought,bought,N,Y,envelope_200d_high close=166900 >= env_upper=163328 200d_hig,Y,Y,Y,1,09:01:40,09:01:40,agree_Y,agree_Y,agree_Y,N,N,Y,Y,166900,166900,log,,,,
2026-09-16,daytrading_3methods_breakout,,036220,1,bought,bought,N,Y,breakout_prev_high close=7210.00 prior20_high=6950.00 vol=41,Y,Y,Y,1,09:12:52,09:12:52,agree_Y,agree_Y,agree_Y,N,N,N,Y,7210,7210,log,336.9165,2,+16745.82,
2026-09-16,daytrading_3methods_breakout,,372910,2,bought,bought,N,Y,breakout_prev_high close=2065.00 prior20_high=1915.00 vol=12,Y,Y,Y,1,09:44:47,09:44:47,agree_Y,agree_Y,agree_Y,N,N,N,Y,2065,2065,log,195.6588,2,+9682.94,
2026-09-16,daytrading_3methods_breakout,,053300,3,no_slot,no_slot,N,Y,breakout_prev_high close=5500.00 prior20_high=5300.00 vol=66,NA,NA,NA,,,,na,na,na,N,N,,,,5500,replay,65.1852,2,+3159.26,N
2026-09-16,daytrading_3methods_breakout,,158430,4,no_slot,no_slot,N,Y,breakout_prev_high close=6310.00 prior20_high=5100.00 vol=11,NA,NA,NA,,,,na,na,na,N,N,,,,6310,replay,40.5249,2,+1926.25,N
2026-09-16,daytrading_3methods_breakout,,417860,5,no_slot,no_slot,N,Y,breakout_prev_high close=7450.00 prior20_high=7450.00 vol=52,NA,NA,NA,,,,na,na,na,N,N,,,,7450,replay,40.6575,2,+1932.87,N
2026-09-16,daytrading_3methods_breakout,,028100,6,no_slot,no_slot,N,Y,breakout_prev_high close=18690.00 prior20_high=18280.00 vol=,NA,NA,NA,,,,na,na,na,N,N,,,,18690,replay,50.2394,2,+2411.97,N
2026-09-16,daytrading_3methods_breakout,,054920,7,no_slot,no_slot,N,Y,breakout_prev_high close=5230.00 prior20_high=4165.00 vol=10,NA,NA,NA,,,,na,na,na,N,N,,,,5230,replay,30.7184,2,+1435.92,N
