arm,lot_id,tier,strategy,code,entry_date,entry_basis,entry_price,qty,qty_basis,notional_won,signal_basis,crash_blocked,lift_time,d5_flags,other_holder_live,buy_id,is_repeat_while_open,open_lot_seq,days_since_open_lot,exit_status,exit_reason,exit_phase,exit_date,exit_price,ret_pct,hold_days,pnl_won,flags
B1,B1-0089,main,minervini_volume_dryup,088350,2026-09-22,D_open,5790,172,amount,995880,log,N,,,,,Y,2,1,open,open,,2026-09-23,5640,-2.59,1,-25800,mark_to_market(마지막 종가)
B1,B1-0090,main,minervini_volume_dryup,090430,2026-09-22,D_open,144800,6,amount,868800,log,N,,,,,Y,2,1,open,open,,2026-09-23,142500,-1.59,1,-13800,mark_to_market(마지막 종가)
B1,B1-0091,main,minervini_volume_dryup,144960,2026-09-22,D_open,12020,83,amount,997660,log,N,,,,,N,1,,open,open,,2026-09-23,12790,+6.41,1,63910,mark_to_market(마지막 종가)
B1,B1-0092,main,minervini_volume_dryup,161890,2026-09-22,D_open,145600,6,amount,873600,log,N,,,,,N,1,,open,open,,2026-09-23,147000,+0.96,1,8400,mark_to_market(마지막 종가)
B1,B1-0093,main,minervini_volume_dryup,241710,2026-09-22,D_open,129000,7,amount,903000,replay,N,,,,,N,1,,open,open,,2026-09-23,127300,-1.32,1,-11900,mark_to_market(마지막 종가)
B1,B1-0094,main,rs_leader,000500,2026-09-22,band_touch,328055,3,amount,984165,replay,N,,,,,Y,2,1,open,open,,2026-09-23,318500,-2.91,1,-28665,entry_day_touch_skipped(진입 시각 불명) · mark_to_market(마지막 종가)
B1,B1-0095,main,rs_leader,001820,2026-09-22,D_open,150000,6,amount,900000,log,N,,,,,N,1,,open,open,,2026-09-23,146900,-2.07,1,-18600,mark_to_market(마지막 종가)
B1,B1-0096,main,rs_leader,017900,2026-09-22,D_open,10570,94,amount,993580,log,N,,,,,Y,2,1,closed,sl,after0902,2026-09-23,9724.4,-8.00,1,-79486,
B1,B1-0097,main,rs_leader,020120,2026-09-22,D_open,8110,123,amount,997530,log,N,,,,,N,1,,closed,sl,entry_day,2026-09-22,7461.2,-8.00,0,-79802,
B1,B1-0098,main,rs_leader,024840,2026-09-22,D_open,6460,154,amount,994840,replay,N,,,,,Y,2,1,open,open,,2026-09-23,6350,-1.70,1,-16940,mark_to_market(마지막 종가)
B1,B1-0099,main,rs_leader,032580,2026-09-22,D_open,6600,151,amount,996600,replay,N,,,,,N,1,,open,open,,2026-09-23,7020,+6.36,1,63420,mark_to_market(마지막 종가)
B1,B1-0100,main,rs_leader,036930,2026-09-22,band_touch,211665,4,amount,846660,log,N,,,elder_ema_pullback(09-17),,Y,2,1,open,open,,2026-09-23,209500,-1.02,1,-8660,entry_day_touch_skipped(진입 시각 불명) · mark_to_market(마지막 종가)
B1,B1-0101,main,rs_leader,351320,2026-09-22,D_open,3740,267,amount,998580,replay,N,,,,,N,1,,open,open,,2026-09-23,3665,-2.01,1,-20025,mark_to_market(마지막 종가)
B1,B1-0102,main,book_pullback_ma20,003280,2026-09-23,D_open,1801,555,amount,999555,replay,N,,,,,N,1,,open,open,,2026-09-23,1777,-1.33,0,-13320,mark_to_market(마지막 종가)
B1,B1-0103,main,book_pullback_ma20,008970,2026-09-23,band_touch,1181.7,846,amount,999718,log,N,,throttle,,,N,1,,open,open,,2026-09-23,1130,-4.38,0,-43738,entry_day_touch_skipped(진입 시각 불명) · mark_to_market(마지막 종가)
B1,B1-0104,main,book_pullback_ma20,018000,2026-09-23,D_open,1240,806,amount,999440,replay,N,,,,,Y,2,2,open,open,,2026-09-23,1290,+4.03,0,40300,mark_to_market(마지막 종가)
B1,B1-0105,main,book_pullback_ma20,024060,2026-09-23,D_open,12530,79,amount,989870,log,N,,,,,N,1,,open,open,,2026-09-23,12360,-1.36,0,-13430,mark_to_market(마지막 종가)
B1,B1-0106,main,book_pullback_ma20,025980,2026-09-23,D_open,5400,185,amount,999000,log,N,,throttle_delay,,,N,1,,open,open,,2026-09-23,5220,-3.33,0,-33300,mark_to_market(마지막 종가)
B1,B1-0107,main,book_pullback_ma20,047770,2026-09-23,D_open,3750,266,amount,997500,log,N,,throttle,,,Y,2,2,open,open,,2026-09-23,3785,+0.93,0,9310,mark_to_market(마지막 종가)
B1,B1-0108,main,book_pullback_ma20,090460,2026-09-23,D_open,20100,49,amount,984900,log,N,,throttle,,,N,1,,open,open,,2026-09-23,20250,+0.75,0,7350,mark_to_market(마지막 종가)
B1,B1-0109,main,book_pullback_ma20,187660,2026-09-23,D_open,6600,151,amount,996600,log,N,,throttle_delay,,,N,1,,open,open,,2026-09-23,6630,+0.45,0,4530,mark_to_market(마지막 종가)
B1,B1-0110,main,book_pullback_ma20,299660,2026-09-23,band_touch,2913.85,343,amount,999451,log,N,,throttle,,,N,1,,open,open,,2026-09-23,2620,-10.08,0,-100791,entry_day_touch_skipped(진입 시각 불명) · mark_to_market(마지막 종가)
