date,strategy,code,stage,result,n,first_ts,last_ts,basis
2026-09-22,elder_ema_pullback,009155,candidate,Y,1,,,e6
2026-09-22,elder_ema_pullback,009155,signal,N,,,,log
2026-09-22,elder_ema_pullback,039030,candidate,Y,1,,,e6
2026-09-22,elder_ema_pullback,039030,signal,Y,61,09:08:20,15:27:17,log
2026-09-22,elder_ema_pullback,039030,gate,buy_stop,59,09:08:20,15:27:17,log
2026-09-22,elder_ema_pullback,039030,gate,no_price,1,10:38:41,10:38:41,log
2026-09-22,elder_ema_pullback,039030,cash,qty_short,1,09:14:43,09:14:43,log
2026-09-22,elder_ema_pullback,357780,candidate,Y,1,,,e6
2026-09-22,elder_ema_pullback,357780,signal,N,,,,log
2026-09-22,elder_ema_pullback,108490,candidate,Y,1,,,e6
2026-09-22,elder_ema_pullback,108490,signal,Y,25,09:08:20,11:43:11,log
2026-09-22,elder_ema_pullback,108490,gate,buy_stop,23,09:08:20,11:36:43,log
2026-09-22,elder_ema_pullback,108490,gate,no_price,1,10:38:41,10:38:41,log
2026-09-22,elder_ema_pullback,108490,fill,Y,1,11:43:11,11:43:11,vtr
2026-09-22,elder_ema_pullback,051900,candidate,Y,1,,,e6
2026-09-22,elder_ema_pullback,051900,signal,replay:Y,,,,replay
2026-09-22,elder_ema_pullback,051900,held,Y,,,,timeline
2026-09-22,elder_ema_pullback,192820,candidate,Y,1,,,e6
2026-09-22,elder_ema_pullback,192820,signal,replay:Y,,,,replay
2026-09-22,elder_ema_pullback,192820,held,Y,,,,timeline
2026-09-22,elder_ema_pullback,131290,candidate,Y,1,,,e6
2026-09-22,elder_ema_pullback,131290,signal,Y,2,09:08:20,09:14:43,log
2026-09-22,elder_ema_pullback,131290,gate,buy_stop,1,09:08:20,09:08:20,log
2026-09-22,elder_ema_pullback,131290,fill,Y,1,09:14:43,09:14:43,vtr
2026-09-22,elder_ema_pullback,064760,candidate,Y,1,,,e6
2026-09-22,elder_ema_pullback,064760,signal,replay:Y,,,,replay
2026-09-22,elder_ema_pullback,064760,held,Y,,,,timeline
2026-09-22,elder_ema_pullback,443060,candidate,Y,1,,,e6
2026-09-22,elder_ema_pullback,443060,signal,replay:Y,,,,replay
2026-09-22,elder_ema_pullback,443060,held,Y,,,,timeline
2026-09-22,elder_ema_pullback,018260,candidate,Y,1,,,e6
2026-09-22,elder_ema_pullback,018260,signal,N,,,,log
2026-09-22,book_envelope_200d,010580,candidate,Y,1,,,e6
2026-09-22,book_envelope_200d,010580,signal,Y,1,09:01:45,09:01:45,log
2026-09-22,book_envelope_200d,010580,fill,Y,1,09:01:46,09:01:46,vtr
2026-09-22,book_envelope_200d,252990,candidate,Y,1,,,e6
2026-09-22,book_envelope_200d,252990,signal,Y,2,09:01:46,09:09:04,log
2026-09-22,book_envelope_200d,252990,gate,throttle,1,09:01:46,09:01:46,log
2026-09-22,book_envelope_200d,252990,fill,Y,1,09:09:04,09:09:04,vtr
2026-09-22,book_envelope_200d,098120,candidate,Y,1,,,e6
2026-09-22,book_envelope_200d,098120,signal,Y,3,09:01:46,09:15:33,log
2026-09-22,book_envelope_200d,098120,gate,throttle,2,09:01:46,09:09:04,log
2026-09-22,book_envelope_200d,098120,fill,Y,1,09:15:33,09:15:33,vtr
2026-09-22,daytrading_3methods_breakout,099750,candidate,Y,1,,,e6
2026-09-22,daytrading_3methods_breakout,099750,signal,Y,1,09:02:36,09:02:36,log
2026-09-22,daytrading_3methods_breakout,099750,fill,Y,1,09:02:37,09:02:37,vtr
2026-09-22,daytrading_3methods_breakout,223250,candidate,Y,1,,,e6
2026-09-22,daytrading_3methods_breakout,223250,signal,Y,2,09:02:37,09:09:48,log
2026-09-22,daytrading_3methods_breakout,223250,gate,throttle,1,09:02:37,09:02:37,log
2026-09-22,daytrading_3methods_breakout,223250,fill,Y,1,09:09:49,09:09:49,vtr
2026-09-22,daytrading_3methods_breakout,086960,candidate,Y,1,,,e6
2026-09-22,daytrading_3methods_breakout,086960,signal,Y,3,09:02:37,09:16:19,log
2026-09-22,daytrading_3methods_breakout,086960,gate,throttle,2,09:02:37,09:09:49,log
2026-09-22,daytrading_3methods_breakout,086960,fill,Y,1,09:16:19,09:16:19,vtr
2026-09-22,daytrading_3methods_breakout,425040,candidate,Y,1,,,e6
2026-09-22,daytrading_3methods_breakout,425040,signal,Y,2,09:02:37,09:09:49,log
2026-09-22,daytrading_3methods_breakout,425040,cap,daily_trades,1,09:16:19,09:16:19,log
