date,strategy,mode,code,list_pos,slot_state,slot_state_v2,eval_v1,signal_replay,replay_reason,signal_log,signal_log_v1,signal_log_v2,n_evals,first_ts,last_ts,outcome,outcome_v1,outcome_v2,no_slot_but_log_y,no_slot_but_log_y_v2,reasons_equal,ref_equal,receipt_ref,replay_ref,signal_basis,vol_ratio,vol_threshold,rule_margin_pct,vintage_fragile
2026-09-22,book_pullback_ma20,,086450,8,slot_available,no_slot,Y,Y,daily_ma20_pull ma20=20601.50 low=20800.00 close=21100.00,Y,Y,Y,2,09:04:18,09:11:36,agree_Y,agree_Y,agree_Y,N,Y,Y,Y,21100,21100,log,,,,
2026-09-22,book_pullback_ma20,,357880,9,slot_available,no_slot,Y,Y,daily_ma20_pull ma20=1823.00 low=1858.00 close=1882.00,Y,Y,Y,2,09:04:18,09:11:37,agree_Y,agree_Y,agree_Y,N,Y,Y,Y,1882,1882,log,,,,
2026-09-22,book_pullback_ma20,,082920,10,slot_available,no_slot,Y,Y,daily_ma20_pull ma20=28465.00 low=28600.00 close=29300.00,Y,Y,Y,2,09:04:18,09:11:37,agree_Y,agree_Y,agree_Y,N,Y,Y,Y,29300,29300,log,,,,
2026-09-22,book_pullback_ma5,,017900,1,slot_available,slot_available,Y,Y,ma5_pullback ma5=10590.00 low=10590.00 close=11060.00,Y,Y,Y,4,09:05:10,09:25:15,agree_Y,agree_Y,agree_Y,N,N,Y,Y,11060,11060,log,,,,
2026-09-22,book_pullback_ma5,,036540,2,bought,bought,Y,Y,ma5_pullback ma5=9148.00 low=9010.00 close=10550.00,Y,Y,Y,1,09:05:11,09:05:11,agree_Y,agree_Y,agree_Y,N,N,Y,Y,10550,10550,log,,,,
2026-09-22,book_pullback_ma5,,356680,3,slot_available,slot_available,Y,Y,ma5_pullback ma5=17460.00 low=17120.00 close=17840.00,Y,Y,Y,4,09:05:12,09:25:15,agree_Y,agree_Y,agree_Y,N,N,Y,Y,17840,17840,log,,,,
2026-09-22,book_pullback_ma5,,332570,4,bought,bought,Y,Y,ma5_pullback ma5=8774.00 low=8860.00 close=9300.00,Y,Y,Y,2,09:05:12,09:12:25,agree_Y,agree_Y,agree_Y,N,N,Y,Y,9300,9300,log,,,,
2026-09-22,book_pullback_ma5,,125490,5,bought,bought,Y,Y,ma5_pullback ma5=11616.00 low=11680.00 close=12600.00,Y,Y,Y,4,09:05:13,09:25:15,agree_Y,agree_Y,agree_Y,N,N,Y,Y,12600,12600,log,,,,
2026-09-22,book_pullback_ma5,,030530,6,bought,bought,Y,Y,ma5_pullback ma5=25760.00 low=25800.00 close=26900.00,Y,Y,Y,3,09:05:13,09:18:41,agree_Y,agree_Y,agree_Y,N,N,Y,Y,26900,26900,log,,,,
2026-09-22,book_pullback_ma5,,192650,7,slot_available,no_slot,Y,Y,ma5_pullback ma5=7480.00 low=7520.00 close=8200.00,Y,Y,Y,3,09:05:13,09:18:41,agree_Y,agree_Y,agree_Y,N,Y,Y,Y,8200,8200,log,,,,
2026-09-22,book_pullback_ma5,,452260,8,slot_available,no_slot,Y,Y,ma5_pullback ma5=2623.00 low=2625.00 close=2720.00,Y,Y,Y,3,09:05:14,09:18:42,agree_Y,agree_Y,agree_Y,N,Y,Y,Y,2720,2720,log,,,,
2026-09-22,book_pullback_ma5,,417200,9,slot_available,no_slot,Y,Y,ma5_pullback ma5=13072.00 low=13170.00 close=13750.00,Y,Y,Y,3,09:05:15,09:18:42,agree_Y,agree_Y,agree_Y,N,Y,Y,Y,13750,13750,log,,,,
2026-09-22,book_pullback_ma5,,142280,10,slot_available,no_slot,Y,Y,ma5_pullback ma5=3225.00 low=3235.00 close=3310.00,Y,Y,Y,3,09:05:15,09:18:42,agree_Y,agree_Y,agree_Y,N,Y,Y,Y,3310,3310,log,,,,
2026-09-22,rs_leader,live,032580,1,held,held,Y,Y,절대상승추세(종가>MA20·종가>MA60·MA20>MA60·60일수익>0),NA,N,NA,,,,na,replay_only,na,N,N,,,,6550,replay,,,,
2026-09-22,rs_leader,live,017900,2,bought,bought,Y,Y,절대상승추세(종가>MA20·종가>MA60·MA20>MA60·60일수익>0),Y,Y,Y,1,09:06:22,09:06:22,agree_Y,agree_Y,agree_Y,N,N,Y,Y,11060,11060,log,,,,
2026-09-22,rs_leader,live,036930,3,slot_available,slot_available,Y,Y,절대상승추세(종가>MA20·종가>MA60·MA20>MA60·60일수익>0),Y,Y,Y,1,09:13:11,09:13:11,agree_Y,agree_Y,agree_Y,N,N,Y,Y,205500,205500,log,,,,
2026-09-22,rs_leader,live,024840,4,held,held,N,Y,절대상승추세(종가>MA20·종가>MA60·MA20>MA60·60일수익>0),NA,NA,NA,,,,na,na,na,N,N,,,,6310,replay,,,,
2026-09-22,rs_leader,live,000500,5,held,held,N,Y,절대상승추세(종가>MA20·종가>MA60·MA20>MA60·60일수익>0),NA,NA,NA,,,,na,na,na,N,N,,,,318500,replay,,,,
2026-09-22,rs_leader,live,351320,6,held,held,N,Y,절대상승추세(종가>MA20·종가>MA60·MA20>MA60·60일수익>0),NA,NA,NA,,,,na,na,na,N,N,,,,3740,replay,,,,
